CID,Z,c,cerr,x1,x1err,x0,x0err,mb,mberr,MU,MUERR,covx0x1,covx0c,covx1c
04D3ml,0.95,-0.0924,0.1033,1.1807,0.734,3e-06,0.0,24.566692,0.057755,44.074001,0.28,-0.0,0.0,0.040489
04D3nc,0.817,-0.047,0.0837,1.7417,1.0811,4e-06,0.0,24.285973,0.059336,43.740002,0.251,-0.0,-0.0,0.063847
04D4bq,0.55,0.0655,0.0351,0.2461,0.4914,8e-06,0.0,23.346891,0.031382,42.360001,0.113,-0.0,-0.0,0.00355
04D3nh,0.3402,-0.0145,0.0198,0.646,0.2856,2.6e-05,1e-06,22.115978,0.024781,41.370998,0.074,-0.0,-0.0,0.001787
04D3nr,0.96,0.0666,0.0939,0.7019,0.884,3e-06,0.0,24.588608,0.058566,43.646999,0.263,-0.0,0.0,0.04447
04D4dm,0.811,0.0212,0.0678,0.3219,0.6178,3e-06,0.0,24.404701,0.036153,43.535999,0.189,-0.0,0.0,0.021964
04D4dw,0.961,-0.1796,0.1132,0.5039,0.6271,3e-06,0.0,24.572882,0.059482,44.226002,0.301,0.0,0.0,0.046117
b013,0.426,-0.0313,0.0651,-0.5289,0.3743,1.6e-05,1e-06,22.635096,0.055282,41.806999,0.18,-0.0,-0.0,-0.004579
d033,0.531,-0.2426,0.0812,1.2155,0.9137,9e-06,0.0,23.256777,0.044961,43.144001,0.237,-0.0,-0.0,-0.01998
d083,0.333,-0.1361,0.0479,1.3698,0.3423,7.3e-05,3e-06,20.99754,0.048166,40.634998,0.143,-0.0,-0.0,-0.001296
d084,0.519,0.0372,0.1027,-0.0212,0.9714,6e-06,0.0,23.622234,0.0674,42.676998,0.287,-0.0,-0.0,0.000151
d085,0.401,-0.0048,0.0668,0.749,0.4849,1.9e-05,1e-06,22.469307,0.059133,41.712002,0.189,-0.0,-0.0,-0.000339
d086,0.205,0.0445,0.0838,-0.4193,0.2587,7e-05,7e-06,21.018322,0.100316,40.012001,0.237,-1e-06,-1e-06,0.003093
d089,0.436,-0.1028,0.0603,0.3176,0.4314,1.9e-05,1e-06,22.476719,0.055348,41.917999,0.172,-0.0,-0.0,-0.000593
d093,0.363,-0.163,0.0585,1.2699,0.3857,3.1e-05,2e-06,21.924356,0.058969,41.618,0.171,-0.0,-0.0,0.000709
d097,0.436,-0.0254,0.0768,1.6986,0.626,1.8e-05,1e-06,22.5249,0.070567,41.921001,0.221,-0.0,-0.0,-0.003454
d117,0.309,0.0491,0.094,-1.6834,0.4334,2e-05,2e-06,22.373497,0.105101,41.220001,0.266,-0.0,-0.0,0.003726
d149,0.342,-0.0621,0.0512,0.4871,0.4175,2.6e-05,1e-06,22.104506,0.053493,41.462002,0.151,-0.0,-0.0,-0.005654
e020,0.159,0.1949,0.1225,-0.0976,0.5192,7.6e-05,1.1e-05,20.925909,0.153408,39.577999,0.35,-2e-06,-1e-06,0.018582
e029,0.332,0.024,0.0909,-1.9727,1.3605,1.9e-05,2e-06,22.433489,0.09294,41.312,0.29,-1e-06,-0.0,0.023481
e132,0.239,0.1979,0.0618,-0.211,0.3074,3.6e-05,2e-06,21.729673,0.069083,40.362,0.179,-0.0,-0.0,0.004844
e136,0.352,0.0964,0.0727,-1.8065,0.7077,1.4e-05,1e-06,22.746746,0.063515,41.462002,0.213,-0.0,-0.0,-0.00084
e138,0.612,-0.0515,0.083,0.7142,0.6759,8e-06,0.0,23.443867,0.068167,42.799,0.233,-0.0,-0.0,0.005853
e140,0.631,0.044,0.058,-0.236,0.7586,8e-06,0.0,23.376659,0.028734,42.390999,0.173,-0.0,-0.0,-0.009927
e147,0.645,-0.1653,0.0628,-0.3269,0.4088,8e-06,0.0,23.344532,0.036637,42.873001,0.173,-0.0,-0.0,0.005015
e148,0.429,-0.0843,0.059,-1.1941,0.4254,1.6e-05,1e-06,22.651243,0.048551,41.883999,0.168,-0.0,-0.0,-0.000638
e149,0.497,-0.0337,0.0679,-0.268,0.4652,1.2e-05,1e-06,22.917061,0.067427,42.122002,0.193,-0.0,-0.0,0.01193
f011,0.539,0.001,0.075,-1.3725,0.6398,9e-06,0.0,23.286493,0.047642,42.286999,0.21,-0.0,-0.0,0.005301
f231,0.619,-0.145,0.0691,0.8502,1.7824,8e-06,1e-06,23.448296,0.077048,43.051998,0.273,-1e-06,-0.0,0.02088
f244,0.54,-0.0674,0.0914,-0.3269,0.8745,9e-06,1e-06,23.305464,0.067048,42.589001,0.259,-0.0,-0.0,0.004631
g005,0.218,0.1551,0.0888,1.4487,0.4498,5.3e-05,5e-06,21.308521,0.103537,40.226002,0.255,-0.0,-0.0,-0.000736
g050,0.633,0.0457,0.0818,-0.0932,0.605,1e-05,0.0,23.17148,0.052729,42.196999,0.224,-0.0,-0.0,0.009638
g052,0.383,-0.1559,0.121,-1.7468,0.5889,2.1e-05,2e-06,22.358065,0.109631,41.709999,0.332,-0.0,-0.0,-0.006223
g055,0.302,0.4578,0.0982,0.856,0.6064,1e-05,1e-06,23.135086,0.117472,41.231998,0.293,-0.0,-0.0,-0.01089
g097,0.34,0.124,0.0822,0.5291,0.4976,2.2e-05,2e-06,22.256804,0.086615,41.153,0.233,-0.0,-0.0,-0.005391
g120,0.51,0.061,0.0602,0.2648,0.4957,1.3e-05,1e-06,22.825443,0.04247,41.851002,0.169,-0.0,-0.0,0.003132
g142,0.399,0.2753,0.1386,-2.6784,0.8618,8e-06,1e-06,23.408892,0.127345,41.583,0.388,-0.0,-0.0,-0.008742
g160,0.493,0.0407,0.0895,1.6058,0.6835,1.2e-05,1e-06,22.980471,0.077846,42.201,0.252,-0.0,-0.0,0.00988
g240,0.687,-0.2083,0.0961,-0.2735,0.8801,8e-06,1e-06,23.415529,0.075136,43.056999,0.273,-0.0,-0.0,0.027095
h283,0.502,0.2094,0.1153,-2.545,0.9578,7e-06,1e-06,23.461565,0.089377,41.814999,0.326,-0.0,-0.0,-0.00044
h300,0.687,-0.0302,0.0811,0.5264,0.6779,7e-06,0.0,23.49601,0.057724,42.778,0.226,-0.0,-0.0,0.010685
h319,0.495,-0.0518,0.059,0.9513,0.6675,1.3e-05,1e-06,22.881794,0.051422,42.263,0.177,-0.0,-0.0,0.002796
h323,0.603,-0.0051,0.0872,-0.3085,0.6484,7e-06,0.0,23.505377,0.052371,42.634998,0.237,-0.0,-0.0,0.00619
h342,0.421,-0.1776,0.1022,3.4534,1.279,1.9e-05,2e-06,22.439629,0.102014,42.403999,0.318,-1e-06,-0.0,-0.024799
h359,0.348,0.0318,0.0613,-0.0866,0.4058,1.7e-05,1e-06,22.588894,0.057054,41.650002,0.173,-0.0,-0.0,-0.005372
h363,0.213,0.2822,0.0899,-0.6263,0.3258,3e-05,3e-06,21.929667,0.104259,40.306999,0.257,-0.0,-0.0,0.000416
h364,0.344,-0.1251,0.059,-0.3841,0.3435,3.6e-05,2e-06,21.756804,0.055669,41.178001,0.167,-0.0,-0.0,-0.0024
k425,0.274,0.1195,0.065,-0.4909,0.3894,3e-05,2e-06,21.949667,0.075429,40.748001,0.189,-0.0,-0.0,0.003663
k429,0.181,-0.1147,0.1036,0.2479,0.3008,0.000135,1.6e-05,20.328033,0.126047,39.791,0.293,-1e-06,-2e-06,0.00377
k448,0.401,0.201,0.128,0.4387,1.3458,8e-06,1e-06,23.306873,0.115316,42.000999,0.373,0.0,-0.0,-0.013367
k485,0.416,0.5621,0.1024,-0.2494,1.3163,5e-06,0.0,23.881739,0.099719,41.599998,0.325,-0.0,-0.0,0.009046
m027,0.286,0.145,0.0948,1.1511,1.1942,1.9e-05,2e-06,22.449585,0.113465,41.360001,0.296,0.0,-0.0,-0.031901
